rank	baseline_rank	field	baseline_value	candidate_value	delta	abs_delta	relative_delta	comparison_family	global_numeric_adoption	likelihood	physical_claim
1	1	minuslogpost	12.018652	12.018652	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
1	1	chi2	10.282299	10.282299	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
1	1	chi2__BAO	10.282299	10.282299	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
1	1	H0rdrag	10154.786	10154.786	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
1	1	rdrag	150.75395	150.75395	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
1	1	omegam	0.29717936	0.29717936	0.0	0.0	0.0	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	minuslogpost	12.018652	734.1287	722.110048	722.110048	60.08244917982483	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	chi2	10.282299	1464.2415	1453.9592010000001	1453.9592010000001	141.40409659357312	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	chi2__BAO	10.282299	11.706712	1.4244129999999995	1.4244129999999995	0.13853059515192073	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	H0rdrag	10154.786	10093.769	-61.016999999999825	61.016999999999825	-0.006008693831657292	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	rdrag	150.75395	147.74147	-3.0124800000000107	3.0124800000000107	-0.019982759987383487	bounded_rank_to_baseline_field_delta	NO	NO	NO
2	1	omegam	0.29717936	0.30101049	0.003831130000000016	0.003831130000000016	0.012891642272868533	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	minuslogpost	12.018652	834.33257	822.3139180000001	822.3139180000001	68.41981263788985	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	chi2	10.282299	1664.6492	1654.366901	1654.366901	160.8946502139259	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	chi2__BAO	10.282299	13.246211	2.9639120000000005	2.9639120000000005	0.288253823391053	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	H0rdrag	10154.786	10062.787	-91.9989999999998	91.9989999999998	-0.00905966900730353	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	rdrag	150.75395	147.67554	-3.078409999999991	3.078409999999991	-0.020420095128518962	bounded_rank_to_baseline_field_delta	NO	NO	NO
3	1	omegam	0.29717936	0.30336278	0.006183419999999995	0.006183419999999995	0.020807030474794732	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	minuslogpost	12.018652	712.47692	700.458268	700.458268	58.28093433439957	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	chi2	10.282299	1420.9379	1410.655601	1410.655601	137.19262598763174	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	chi2__BAO	10.282299	12.24123	1.9589309999999998	1.9589309999999998	0.19051488387956816	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	H0rdrag	10154.786	10081.642	-73.14400000000023	73.14400000000023	-0.007202909051948533	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	rdrag	150.75395	147.71577	-3.038180000000011	3.038180000000011	-0.020153236449194274	bounded_rank_to_baseline_field_delta	NO	NO	NO
4	1	omegam	0.29717936	0.30192861	0.004749249999999983	0.004749249999999983	0.015981089669215194	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	minuslogpost	12.018652	23.795753	11.777101000000002	11.777101000000002	0.9799019890084181	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	chi2	10.282299	43.575616	33.293316999999995	33.293316999999995	3.2379253900319367	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	chi2__BAO	10.282299	12.145306	1.8630069999999996	1.8630069999999996	0.18118584180444466	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	H0rdrag	10154.786	10083.68	-71.10599999999977	71.10599999999977	-0.007002215507052514	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	rdrag	150.75395	147.71994	-3.034009999999995	3.034009999999995	-0.02012557548243343	bounded_rank_to_baseline_field_delta	NO	NO	NO
5	1	omegam	0.29717936	0.30177402	0.004594659999999973	0.004594659999999973	0.015460898764974702	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	minuslogpost	12.018652	9.5789221	-2.4397298999999997	2.4397298999999997	-0.20299530263460494	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	chi2	10.282299	15.141953	4.859654000000001	4.859654000000001	0.4726232917366049	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	chi2__BAO	10.282299	11.464598	1.1822990000000004	1.1822990000000004	0.11498391556207424	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	H0rdrag	10154.786	10100.029	-54.75699999999961	54.75699999999961	-0.0053922357398767055	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	rdrag	150.75395	147.75499	-2.998960000000011	2.998960000000011	-0.019893077428485364	bounded_rank_to_baseline_field_delta	NO	NO	NO
6	1	omegam	0.29717936	0.30053846	0.0033591000000000037	0.0033591000000000037	0.011303274897691427	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	minuslogpost	12.018652	836.38966	824.3710080000001	824.3710080000001	68.59097076776997	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	chi2	10.282299	1659.0243	1648.742001	1648.742001	160.347603293777	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	chi2__BAO	10.282299	12.406634	2.1243350000000003	2.1243350000000003	0.20660116964114741	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	H0rdrag	10154.786	10055.428	-99.35800000000017	99.35800000000017	-0.009784351930213021	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	rdrag	150.75395	149.27892	-1.4750300000000038	1.4750300000000038	-0.009784353909134744	bounded_rank_to_baseline_field_delta	NO	NO	NO
7	1	omegam	0.29717936	0.3100411	0.01286174000000001	0.01286174000000001	0.04327938521706221	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	minuslogpost	12.018652	714.96636	702.947708	702.947708	58.48806571652129	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	chi2	10.282299	1416.1777	1405.895401	1405.895401	136.7296750464074	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	chi2__BAO	10.282299	10.886637	0.6043380000000003	0.6043380000000003	0.058774598949126095	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	H0rdrag	10154.786	10101.835	-52.95100000000093	52.95100000000093	-0.0052143885651554775	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	rdrag	150.75395	149.96786	-0.7860900000000015	0.7860900000000015	-0.005214390734040478	bounded_rank_to_baseline_field_delta	NO	NO	NO
8	1	omegam	0.29717936	0.30396301	0.006783649999999974	0.006783649999999974	0.022826787163146102	bounded_rank_to_baseline_field_delta	NO	NO	NO
