decision	R3_RECONCILE_TWO_GROUP_ALPHA_FORMULA_ONLY_CREATED
classification	FORMULA_AND_FILE_STRUCTURE_AUDIT_ONLY_NO_RECOMPUTE_EXTENSION
r3_execution	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_EXECUTION_20260703_004019
old_rs_fixed_execution	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RS_FIXED_TEST_EXPLICIT_COV_20260702_180322
micro_audit	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_TWO_GROUP_ALPHA_DIFFERENCE_MICRO_AUDIT_20260703_004918
old_two_group_rows_found	5
old_alpha_columns	alpha_H67_global,alpha_H726_global,alpha_H67_DM_DV_proxy,alpha_H67_DH_proxy,alpha_H726_DM_DV_proxy,alpha_H726_DH_proxy
r3_alpha_columns	alpha_mode,alpha_global,alpha_non_DH,alpha_DH
formula_conclusion	FORMULA_DETAIL_COMPARISON_RECORDED
qualitative_preference_unchanged	YES
claim_promotion	NO
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
app_py_modify	NO
git	NO
public_update	NO
recommended_next	STOP_OR_FREEZE_R3_RECORDS
