decision	R3_TWO_GROUP_ALPHA_DIFFERENCE_MICRO_AUDIT_CREATED
audit_type	VALUE_DIFFERENCE_RECORD_ONLY_NO_RECOMPUTE
r3_execution	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_R3_RESTRICTED_SCAN_EXECUTION_20260703_004019
rs_fixed_execution	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RS_FIXED_TEST_EXPLICIT_COV_20260702_180322
old_two_group_alpha_proxy_delta_min	4.134780
old_two_group_alpha_proxy_delta_max	4.136485
r3_two_group_alpha_proxy_delta_min	4.194414
r3_two_group_alpha_proxy_delta_max	4.196145
delta_min_difference_r3_minus_old	0.059635
delta_max_difference_r3_minus_old	0.059660
old_preference	POS_H726_FAVORED
r3_preference	POS_H726_FAVORED
qualitative_preference_unchanged	YES
likely_cause	two_group_alpha_proxy_implementation_or_parser_detail_difference
claim_promotion	NO
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
app_py_modify	NO
git	NO
public_update	NO
recommended_next	STOP_OR_RECONCILE_TWO_GROUP_ALPHA_FORMULA_ONLY_IF_NEEDED
