H0,profile_chi2,delta_chi2,profile_f_EDE,f_EDE_achieved,z_c_achieved,r_drag_Mpc,Omega_m
63.0,567.4856116314086,557.0708405307806,0.0,,,143.16215164945982,0.38145628621819094
63.25,529.5218781005689,519.1071069999409,0.0,,,143.16215435276195,0.37844678092143297
63.5,493.0467361840645,482.63196508343657,0.0,,,143.1621553834591,0.3754727509455019
63.75,458.042816019349,447.62804491872106,0.0,,,143.1621552010527,0.37253364090734337
64.0,424.49286007037745,414.0780889697495,0.0,,,143.16215525705374,0.36962890625
64.25,392.37972290703783,381.9649518064099,0.0,,,143.1621581958018,0.3667580129903557
64.5,361.6874012304925,351.2726301298646,0.0,,,143.16215689212044,0.3639204374737095
64.75,332.3986964756188,321.98392537499086,0.0,,,143.16215869265392,0.3611156661349712
65.0,304.49763737524125,294.0828662746133,0.0,,,143.16216006837368,0.3583431952662722
65.25,277.968159302272,267.55338820164405,0.0,,,143.1621603161662,0.3556025307907988
65.5,252.79435601603018,242.37958491540223,0.0,,,143.1621589958079,0.35289318804265485
65.75,228.96019818042282,218.54542707979488,0.0,,,143.16215988103647,0.3502146915525742
66.0,206.45019289940507,196.03542179877712,0.0,,,143.16216242646365,0.3475665748393021
66.25,185.24926744345123,174.8344963428233,0.0,,,143.1621622105852,0.34494838020647917
66.5,165.3420539189813,154.92728281835332,0.0,,,143.16216156296764,0.3423596585448584
66.75,146.71342683930138,136.2986557386734,0.0,,,143.16216231467294,0.339799969139699
67.0,129.34855353389918,118.93378243327122,0.0,,,143.1621645665194,0.33726887948318107
67.25,113.23289548680603,102.81812438617807,0.0,,,143.16216591873373,0.3347659650916931
67.5,98.35192251263099,87.93715141200303,0.0,,,143.162166793616,0.3322908093278463
67.75,84.69132692460482,74.27655582397686,0.0,,,143.16216642198648,0.32984300322708027
68.0,72.23682300744716,61.8220519068192,0.0,,,143.16216765999303,0.32742214532871966
68.25,60.97451088399848,50.55973978337052,0.0,,,143.16216792658855,0.32502784151135805
68.5,50.89048415549948,40.47571305487152,0.0,,,143.16216907020117,0.32265970483243644
68.75,41.97113246796599,31.556361367338027,0.0,,,143.16216868695008,0.3203173553719008
69.0,34.20281320645063,23.78804210582267,0.0,,,143.16217143515476,0.3180004200798152
69.25,27.57228451020891,17.15751340958095,0.0,,,143.16217228014057,0.31570853262782
69.5,22.066309384521617,11.651538283893657,0.0,,,143.162171370296,0.31344133326432383
69.75,17.671755516784167,7.256984416156207,0.0,,,143.1621732815807,0.31119846867332124
70.0,14.375781769100858,3.9610106684728983,0.0,,,143.1621726318431,0.30897959183673473
70.25,12.165575330079674,1.750804229451715,0.0,,,143.16217459756444,0.30678436190017855
70.5,11.028547650122757,0.6137765494947978,0.0,,,143.16217613246047,0.30461244404205023
70.75,10.952214565851257,0.5374434652232978,0.0,,,143.16217507180377,0.30246350934585275
71.0,10.421527188328053,0.006756087700093616,0.02,0.020009909779217214,3500.671832820164,142.64702068866788,0.3003372346756596
71.25,10.668809999542315,0.2540388989143558,0.02,0.02000990997939221,3493.905477127388,142.64680614402548,0.2982333025546322
71.5,10.831577573071144,0.41680647244318436,0.05,0.05001694766429436,3499.5431978272595,141.85076631742785,0.296151401046506
71.75,10.41477110062796,0.0,0.05,0.050016946357300016,3499.5431978272595,141.85077043449587,0.29409122363996165
72.0,11.033086613957991,0.6183155133300318,0.05,0.050016945049801885,3499.5431978272595,141.85077536953472,0.2920524691358025
72.25,11.641889358048267,1.2271182574203081,0.08,0.08001767166897028,3501.800831704282,141.02488020668545,0.290034841536859
72.5,11.465920184089647,1.051149083461688,0.08,0.08001767900315704,3501.800831704282,141.0248882504552,0.288038049940547
72.75,12.311494811778878,1.8967237111509192,0.08,0.08001768630573722,3501.800831704282,141.0248925593276,0.28606180843400525
73.0,12.765828367990045,2.3510572673620853,0.1,0.10001615552684605,3501.800831704282,140.45663573298063,0.2841058359917433
73.25,13.679662510237547,3.2648914096095876,0.1,0.10001616329313964,3501.800831704282,140.45664233024436,0.28216985637572944
73.5,14.57476848747322,4.15999738684526,0.12,0.1200137457626675,3501.800831704282,139.87345552418265,0.28025359803785466
73.75,15.487625876623044,5.072854775995085,0.12,0.12001375357574791,3501.800831704282,139.87346330293988,0.27835679402470553
74.0,16.941154892587242,6.526383791959283,0.14,0.14001101442402214,3497.2870190460208,139.2736972969371,0.2764791818845873
74.25,17.778068425812112,7.363297325184153,0.14,0.1400110033752823,3497.2870190460208,139.27370668390103,0.2746205035767325
74.5,19.604606592514862,9.189835491886903,0.14,0.14001098930439132,3500.671832820164,139.27438843474727,0.2727805053826404
74.75,20.61482957318206,10.200058472554101,0.16,0.1600077102164383,3500.671832820164,138.659440901538,0.27095893781948743
75.0,22.28865853274509,11.87388743211713,0.16,0.1600077150490968,3500.671832820164,138.65944806888575,0.2691555555555556
