decision	NARROW_ROW_ORDER_SEMANTIC_REVIEW_PASS
record_type	NARROW_ROW_ORDER_SEMANTIC_REVIEW_ONLY_NO_NEW_SCIENTIFIC_CLAIM
out	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_NARROW_ROW_ORDER_SEMANTIC_REVIEW_20260702_215333
mean_file	/Users/fujikijunichi/Desktop/cobaya_packages/data/bao_data/desi_bao_dr2/desi_gaussian_bao_ALL_GCcomb_mean.txt
mean_sha256	9ac154ab583ce759c0f7eef3c978c7c70a6ead2d18774caceadf1a350a640585
cov_file	/Users/fujikijunichi/Desktop/cobaya_packages/data/bao_data/desi_bao_dr2/desi_gaussian_bao_ALL_GCcomb_cov.txt
cov_sha256	252a143274c8a07c78694c119617d36594f6d7965d00319ca611c6ffb886e509
vector	/Users/fujikijunichi/Desktop/MAXOMEGA/_paper_journal/paper_20260305_102018_audit_sensitivity/_RAW_DR2_BAO_AXICLASS_PHENOAXION_REPAIRED_13ROW_VECTOR_BUILD_WITH_RECOVERED_Z2330_DM_EXECUTE_V1_20260629_222938/vector/repaired_13row_vector_candidate.tsv
vector_sha256	416f3030e455b211b111109f0382528cbb61614ded0fc659f70cfdfc53eef27d
overall_pass	True
case_count	10
scf0_pair_count	5
mean_observable_pattern_expected	True
likelihood_claim	NO
posterior	NO
MCMC	NO
K2_claim	NO
app_py_modify	NO
git	NO
public_update	NO
recommended_next	STOP_OR_ATTACH_REVIEW_TO_RS_FIXED_RECORD_SUMMARY
